Number of Trajectories,EVD IQL,PR IQL,PR True IQL,PR Reward IQL,Runtime IQL
1.0,10.308912463956451,0.914751979655955,-0.017529752602284614,0.00939875237461899,1.1893048286437988
2.0,10.308031702640314,0.914747297187059,-0.033588418123871554,0.010216552455926831,29.784538745880127
4.0,9.874824546401907,0.9199412093951729,0.0016138219513574968,0.009028977430267008,58.05995845794678
8.0,9.650248186642207,0.9196423339284465,0.02946522941681686,0.055782580695439156,139.1085741519928
16.0,8.995366176706476,0.9233767004306278,0.052172663232164615,0.05453916112666706,330.04721689224243
32.0,8.098249971382675,0.9250875437892635,-0.03401030465908872,0.017853198179034635,739.9421076774597
64.0,6.085650177504974,0.9334723464231163,0.01684029829740526,0.0574688188454906,1454.4161331653595
128.0,3.1096602353449248,0.9526467338997116,0.1256227340319437,0.06506844930187425,2490.5314824581146
256.0,1.4058963438651149,0.969215832077186,0.10786774646416357,0.057066760309190265,4523.301176786423
512.0,0.34911738318763835,0.9764897899576607,0.2057975283235258,0.06163183492264342,7529.9535167217255
1024.0,0.09990810297476231,0.9794912289646336,0.19931543561108378,0.06041089530512161,12958.024663209915
