Number of Trajectories,EVD IQL,PR IQL,PR True IQL,PR Reward IQL,Runtime IQL
1.0,10.246436195440126,0.9154203222333183,-0.06153888942055592,-0.0497479125312757,0.7250950336456299
2.0,10.245560630903096,0.915372475128973,-0.04906852847373206,-0.042848322535230875,2.5689613819122314
4.0,9.768859343670478,0.9209738894684121,0.03985280272452558,0.037909854191546195,9.402470111846924
8.0,9.34109577940166,0.9250871833190242,0.011469995974311836,0.05509992721725477,82.8669810295105
16.0,8.747188469015235,0.9305772779170851,0.07570782224330204,0.11957469316560042,175.73727869987488
32.0,7.857131551927299,0.9312259419688395,0.1002363507942214,0.13708913701413883,654.5945167541504
64.0,5.038907305935457,0.9422337080514648,0.10216374432191375,0.10517968946259718,1082.4543118476868
128.0,2.5525978275626464,0.9604302975736492,0.16894913298099024,0.1481908637670255,2469.4707555770874
256.0,1.0854251770753285,0.9737404796705268,0.13817775874155996,0.06232144652136958,3868.0137865543365
512.0,0.5591750691451608,0.9771431431606397,0.1814840984048714,0.038075699368276206,8128.914287567139
1024.0,0.19249399344406543,0.9784742625249877,0.18022958829207394,0.09172915805369113,13331.084084272385
